CountFI,FECHA_INGRESO
26179,2021-01-01
53916,2021-01-02
40531,2021-01-03
142429,2021-01-04
148557,2021-01-05
145661,2021-01-06
148396,2021-01-07
146586,2021-01-08
77059,2021-01-09
43534,2021-01-10
164028,2021-01-11
154407,2021-01-12
144747,2021-01-13
144408,2021-01-14
137329,2021-01-15
74061,2021-01-16
40693,2021-01-17
152328,2021-01-18
148805,2021-01-19
137949,2021-01-20
133602,2021-01-21
129794,2021-01-22
67641,2021-01-23
36546,2021-01-24
140662,2021-01-25
133655,2021-01-26
116451,2021-01-27
108995,2021-01-28
94058,2021-01-29
49298,2021-01-30
26323,2021-01-31
31700,2021-02-01
93350,2021-02-02
83097,2021-02-03
76067,2021-02-04
71025,2021-02-05
36265,2021-02-06
18811,2021-02-07
80482,2021-02-08
64478,2021-02-09
59790,2021-02-10
54669,2021-02-11
53246,2021-02-12
27563,2021-02-13
14778,2021-02-14
57092,2021-02-15
54004,2021-02-16
48806,2021-02-17
48429,2021-02-18
46217,2021-02-19
23447,2021-02-20
13909,2021-02-21
58826,2021-02-22
51135,2021-02-23
46291,2021-02-24
45550,2021-02-25
44965,2021-02-26
22651,2021-02-27
13000,2021-02-28
50977,2021-03-01
40897,2021-03-02
38753,2021-03-03
37051,2021-03-04
35629,2021-03-05
18056,2021-03-06
11689,2021-03-07
41495,2021-03-08
35162,2021-03-09
32452,2021-03-10
31558,2021-03-11
30373,2021-03-12
15750,2021-03-13
9187,2021-03-14
12602,2021-03-15
39669,2021-03-16
31054,2021-03-17
29416,2021-03-18
27841,2021-03-19
14356,2021-03-20
9103,2021-03-21
34697,2021-03-22
30178,2021-03-23
26682,2021-03-24
26534,2021-03-25
23950,2021-03-26
13032,2021-03-27
7550,2021-03-28
30201,2021-03-29
24708,2021-03-30
21647,2021-03-31
10300,2021-04-01
8239,2021-04-02
7885,2021-04-03
7016,2021-04-04
27254,2021-04-05
22722,2021-04-06
21570,2021-04-07
20683,2021-04-08
19624,2021-04-09
10833,2021-04-10
5941,2021-04-11
24584,2021-04-12
20429,2021-04-13
18530,2021-04-14
18264,2021-04-15
16218,2021-04-16
8201,2021-04-17
5466,2021-04-18
20966,2021-04-19
17471,2021-04-20
17504,2021-04-21
15586,2021-04-22
15245,2021-04-23
8476,2021-04-24
5135,2021-04-25
18890,2021-04-26
16541,2021-04-27
14852,2021-04-28
13679,2021-04-29
11754,2021-04-30
3961,2021-05-01
3769,2021-05-02
13483,2021-05-03
11351,2021-05-04
10137,2021-05-05
10913,2021-05-06
9689,2021-05-07
5019,2021-05-08
3105,2021-05-09
6783,2021-05-10
12327,2021-05-11
10224,2021-05-12
9172,2021-05-13
9581,2021-05-14
4792,2021-05-15
2960,2021-05-16
10920,2021-05-17
9893,2021-05-18
9538,2021-05-19
9241,2021-05-20
9117,2021-05-21
4530,2021-05-22
3148,2021-05-23
11388,2021-05-24
10430,2021-05-25
10055,2021-05-26
9566,2021-05-27
9270,2021-05-28
4294,2021-05-29
3425,2021-05-30
10387,2021-05-31
8279,2021-06-01
8308,2021-06-02
7855,2021-06-03
8200,2021-06-04
4011,2021-06-05
2492,2021-06-06
10892,2021-06-07
10623,2021-06-08
10005,2021-06-09
9633,2021-06-10
9735,2021-06-11
5071,2021-06-12
3257,2021-06-13
12337,2021-06-14
11405,2021-06-15
11510,2021-06-16
11573,2021-06-17
11621,2021-06-18
6013,2021-06-19
3731,2021-06-20
15344,2021-06-21
15082,2021-06-22
15326,2021-06-23
15333,2021-06-24
14872,2021-06-25
7817,2021-06-26
4761,2021-06-27
19227,2021-06-28
17175,2021-06-29
14911,2021-06-30
12737,2021-07-01
13149,2021-07-02
6797,2021-07-03
4442,2021-07-04
18068,2021-07-05
18153,2021-07-06
19519,2021-07-07
19537,2021-07-08
20081,2021-07-09
10276,2021-07-10
6677,2021-07-11
26765,2021-07-12
26915,2021-07-13
26346,2021-07-14
25851,2021-07-15
26677,2021-07-16
12845,2021-07-17
8736,2021-07-18
34091,2021-07-19
34052,2021-07-20
33292,2021-07-21
34677,2021-07-22
32738,2021-07-23
15803,2021-07-24
11404,2021-07-25
40381,2021-07-26
38533,2021-07-27
35220,2021-07-28
33954,2021-07-29
27922,2021-07-30
10974,2021-07-31
6850,2021-08-01
22376,2021-08-02
21632,2021-08-03
20637,2021-08-04
20476,2021-08-05
19856,2021-08-06
9359,2021-08-07
7101,2021-08-08
24038,2021-08-09
23387,2021-08-10
21657,2021-08-11
20848,2021-08-12
19930,2021-08-13
8683,2021-08-14
6283,2021-08-15
22473,2021-08-16
20368,2021-08-17
19461,2021-08-18
17310,2021-08-19
16434,2021-08-20
6828,2021-08-21
5252,2021-08-22
18925,2021-08-23
16538,2021-08-24
15070,2021-08-25
13680,2021-08-26
11783,2021-08-27
5018,2021-08-28
3151,2021-08-29
10431,2021-08-30
5170,2021-08-31
30,2021-09-01
