CountFI,FECHA_INGRESO
3,2020-01-01
5,2020-01-05
7,2020-01-06
4,2020-01-07
11,2020-01-08
1,2020-01-09
9,2020-01-10
6,2020-01-11
4,2020-01-12
7,2020-01-13
14,2020-01-14
7,2020-01-15
12,2020-01-16
8,2020-01-17
6,2020-01-18
5,2020-01-19
11,2020-01-20
6,2020-01-21
11,2020-01-22
7,2020-01-23
6,2020-01-24
12,2020-01-25
2,2020-01-26
11,2020-01-27
8,2020-01-28
4,2020-01-29
8,2020-01-30
2,2020-01-31
6,2020-02-01
17,2020-02-03
9,2020-02-04
9,2020-02-05
4,2020-02-06
4,2020-02-07
10,2020-02-09
2,2020-02-10
12,2020-02-11
12,2020-02-12
12,2020-02-13
2,2020-02-14
20,2020-02-15
6,2020-02-16
8,2020-02-17
16,2020-02-18
28,2020-02-19
18,2020-02-20
7,2020-02-21
13,2020-02-22
6,2020-02-23
33,2020-02-24
12,2020-02-25
16,2020-02-26
56,2020-02-27
35,2020-02-28
16,2020-02-29
13,2020-03-01
39,2020-03-02
75,2020-03-03
65,2020-03-04
66,2020-03-05
35,2020-03-06
42,2020-03-07
58,2020-03-08
36,2020-03-09
118,2020-03-10
298,2020-03-11
310,2020-03-12
516,2020-03-13
410,2020-03-14
300,2020-03-15
592,2020-03-16
813,2020-03-17
912,2020-03-18
1207,2020-03-19
1051,2020-03-20
664,2020-03-21
549,2020-03-22
1305,2020-03-23
1765,2020-03-24
1432,2020-03-25
1758,2020-03-26
2061,2020-03-27
1490,2020-03-28
1277,2020-03-29
2701,2020-03-30
2450,2020-03-31
2958,2020-04-01
2719,2020-04-02
3050,2020-04-03
1944,2020-04-04
2001,2020-04-05
4915,2020-04-06
4035,2020-04-07
4527,2020-04-08
3731,2020-04-09
4425,2020-04-10
3619,2020-04-11
3688,2020-04-12
7409,2020-04-13
7260,2020-04-14
7666,2020-04-15
7782,2020-04-16
8973,2020-04-17
6325,2020-04-18
6072,2020-04-19
11823,2020-04-20
11472,2020-04-21
11044,2020-04-22
11736,2020-04-23
13517,2020-04-24
8926,2020-04-25
8531,2020-04-26
15073,2020-04-27
15251,2020-04-28
15031,2020-04-29
14793,2020-04-30
11949,2020-05-01
11484,2020-05-02
10563,2020-05-03
20717,2020-05-04
17396,2020-05-05
18722,2020-05-06
19810,2020-05-07
19843,2020-05-08
12769,2020-05-09
11950,2020-05-10
24414,2020-05-11
24135,2020-05-12
25446,2020-05-13
25279,2020-05-14
28878,2020-05-15
17776,2020-05-16
13539,2020-05-17
32972,2020-05-18
29224,2020-05-19
31949,2020-05-20
32534,2020-05-21
32589,2020-05-22
18873,2020-05-23
15632,2020-05-24
37838,2020-05-25
35066,2020-05-26
36150,2020-05-27
34169,2020-05-28
35364,2020-05-29
22259,2020-05-30
17182,2020-05-31
43067,2020-06-01
38380,2020-06-02
40133,2020-06-03
39771,2020-06-04
40818,2020-06-05
24789,2020-06-06
19346,2020-06-07
49822,2020-06-08
46617,2020-06-09
46299,2020-06-10
43518,2020-06-11
45564,2020-06-12
25445,2020-06-13
21218,2020-06-14
53057,2020-06-15
51617,2020-06-16
49288,2020-06-17
48970,2020-06-18
49049,2020-06-19
29248,2020-06-20
20415,2020-06-21
55636,2020-06-22
52852,2020-06-23
50658,2020-06-24
50513,2020-06-25
52704,2020-06-26
29846,2020-06-27
24120,2020-06-28
60365,2020-06-29
57697,2020-06-30
61371,2020-07-01
56634,2020-07-02
56796,2020-07-03
29710,2020-07-04
24402,2020-07-05
62941,2020-07-06
63366,2020-07-07
59682,2020-07-08
56669,2020-07-09
57628,2020-07-10
31280,2020-07-11
26079,2020-07-12
71162,2020-07-13
67745,2020-07-14
70750,2020-07-15
66068,2020-07-16
64213,2020-07-17
35435,2020-07-18
27748,2020-07-19
72985,2020-07-20
69243,2020-07-21
66477,2020-07-22
64663,2020-07-23
64208,2020-07-24
33539,2020-07-25
24329,2020-07-26
67978,2020-07-27
65540,2020-07-28
61345,2020-07-29
60655,2020-07-30
53835,2020-07-31
30522,2020-08-01
20318,2020-08-02
60103,2020-08-03
59155,2020-08-04
57352,2020-08-05
53504,2020-08-06
52946,2020-08-07
29391,2020-08-08
19370,2020-08-09
57869,2020-08-10
55128,2020-08-11
51803,2020-08-12
51582,2020-08-13
49698,2020-08-14
25944,2020-08-15
18597,2020-08-16
55222,2020-08-17
53702,2020-08-18
50314,2020-08-19
48134,2020-08-20
50439,2020-08-21
25186,2020-08-22
18688,2020-08-23
56506,2020-08-24
53326,2020-08-25
56321,2020-08-26
52001,2020-08-27
50691,2020-08-28
25183,2020-08-29
17710,2020-08-30
56085,2020-08-31
57081,2020-09-01
55463,2020-09-02
50301,2020-09-03
48366,2020-09-04
23103,2020-09-05
16618,2020-09-06
51216,2020-09-07
52948,2020-09-08
48425,2020-09-09
45646,2020-09-10
44007,2020-09-11
22350,2020-09-12
15179,2020-09-13
50055,2020-09-14
34736,2020-09-15
17748,2020-09-16
51087,2020-09-17
45058,2020-09-18
22394,2020-09-19
14623,2020-09-20
50301,2020-09-21
49332,2020-09-22
46432,2020-09-23
43035,2020-09-24
42204,2020-09-25
21162,2020-09-26
14459,2020-09-27
49964,2020-09-28
47731,2020-09-29
44242,2020-09-30
42220,2020-10-01
40076,2020-10-02
19460,2020-10-03
13903,2020-10-04
46977,2020-10-05
47565,2020-10-06
45888,2020-10-07
43985,2020-10-08
45393,2020-10-09
24141,2020-10-10
17411,2020-10-11
54303,2020-10-12
56895,2020-10-13
51725,2020-10-14
51701,2020-10-15
52856,2020-10-16
26570,2020-10-17
18602,2020-10-18
65645,2020-10-19
66957,2020-10-20
59119,2020-10-21
58102,2020-10-22
57862,2020-10-23
27801,2020-10-24
19560,2020-10-25
66816,2020-10-26
63532,2020-10-27
57292,2020-10-28
54806,2020-10-29
50188,2020-10-30
23848,2020-10-31
17081,2020-11-01
40908,2020-11-02
64491,2020-11-03
60690,2020-11-04
59922,2020-11-05
56476,2020-11-06
28043,2020-11-07
20784,2020-11-08
70515,2020-11-09
70371,2020-11-10
66752,2020-11-11
65149,2020-11-12
60470,2020-11-13
30980,2020-11-14
20881,2020-11-15
25944,2020-11-16
76470,2020-11-17
69669,2020-11-18
65785,2020-11-19
66657,2020-11-20
33461,2020-11-21
21926,2020-11-22
82255,2020-11-23
82069,2020-11-24
76225,2020-11-25
76545,2020-11-26
76258,2020-11-27
38679,2020-11-28
23681,2020-11-29
86806,2020-11-30
91951,2020-12-01
90932,2020-12-02
88949,2020-12-03
86624,2020-12-04
47265,2020-12-05
24893,2020-12-06
103510,2020-12-07
103214,2020-12-08
98789,2020-12-09
100380,2020-12-10
99150,2020-12-11
54098,2020-12-12
26832,2020-12-13
113485,2020-12-14
111211,2020-12-15
105347,2020-12-16
101652,2020-12-17
99308,2020-12-18
52154,2020-12-19
29915,2020-12-20
114106,2020-12-21
110045,2020-12-22
100505,2020-12-23
82607,2020-12-24
21184,2020-12-25
46442,2020-12-26
34381,2020-12-27
125962,2020-12-28
126300,2020-12-29
115896,2020-12-30
95549,2020-12-31
