Entity,Code,Day,weekly_deaths_rolling_normalized,people_in_hospital_normalized,weekly_cases_rolling_normalized,people_ventilated_normalized
United Kingdom,GBR,2021-12-12,7.47,20.7,86.32,21.34
United Kingdom,GBR,2021-12-13,8.61,21.26,87.08,20.87
United Kingdom,GBR,2021-12-14,6.85,21.35,90.42,21.29
United Kingdom,GBR,2021-12-15,5.9,21.91,96.95,21.46
United Kingdom,GBR,2021-12-16,8.02,21.42,105.93,21.66
United Kingdom,GBR,2021-12-17,8.78,22.48,114.27,21.02
United Kingdom,GBR,2021-12-18,10.52,25.07,122.98,21.19
United Kingdom,GBR,2021-12-19,11.32,28.03,131.13,21.54
United Kingdom,GBR,2021-12-20,10.16,30.7,140,22.08
United Kingdom,GBR,2021-12-21,10.5,33.73,147.43,21.46
United Kingdom,GBR,2021-12-22,13.67,36.36,154.87,21.29
United Kingdom,GBR,2021-12-23,12.52,37.2,162.39,20.6
United Kingdom,GBR,2021-12-24,12.82,38.82,169.37,20.11
United Kingdom,GBR,2021-12-25,14.54,41.85,176.9,20.01
United Kingdom,GBR,2021-12-26,14.82,44.37,185.77,20.14
United Kingdom,GBR,2021-12-27,15.22,46.21,189.92,19.45
United Kingdom,GBR,2021-12-28,19,47.41,201.46,19.25
United Kingdom,GBR,2021-12-29,19.73,47.87,219.03,19.06
United Kingdom,GBR,2021-12-30,20.92,47.69,235.66,18.3
United Kingdom,GBR,2021-12-31,21.39,48.81,251.86,17.46
United Kingdom,GBR,2022-01-01,21.09,50.86,265.69,17.54
United Kingdom,GBR,2022-01-02,21.02,50.61,273.29,17.49
United Kingdom,GBR,2022-01-03,21.11,50.51,284.94,17.24
United Kingdom,GBR,2022-01-04,21.79,50.06,304.07,16.56
United Kingdom,GBR,2022-01-05,21.34,49.5,306.88,16.29
United Kingdom,GBR,2022-01-06,21.28,48.87,304.61,15.7
United Kingdom,GBR,2022-01-07,21.49,49.18,301.84,15.33
United Kingdom,GBR,2022-01-08,21.6,49.76,293.88,14.79
United Kingdom,GBR,2022-01-09,21.42,48.63,291.44,14.67
United Kingdom,GBR,2022-01-10,21.09,47.35,287.72,14.1
United Kingdom,GBR,2022-01-11,21.1,46.02,264.27,13.76
United Kingdom,GBR,2022-01-12,20.95,44.88,248.67,13.47
United Kingdom,GBR,2022-01-13,21.04,43.24,231.76,
United Kingdom,GBR,2022-01-14,20.92,43.15,212.94,
United Kingdom,GBR,2022-01-15,20.91,43.84,197.45,
United Kingdom,GBR,2022-01-16,21.02,42.31,181.55,
United Kingdom,GBR,2022-01-17,,42.07,167.71,
United Kingdom,GBR,2022-01-18,,41.14,161.39,
United Kingdom,GBR,2022-01-19,,,156.24,
United Kingdom,GBR,2022-01-20,,,155.81,
United Kingdom,GBR,2022-01-21,,,154.89,
United Kingdom,GBR,2022-01-22,,,154.54,
United Kingdom,GBR,2022-01-23,,,155.32,
United Kingdom,GBR,2022-01-24,,,156.29,
United Kingdom,GBR,2022-01-25,,,156.26,
United Kingdom,GBR,2022-01-26,,,154.88,
United Kingdom,GBR,2022-01-27,,,152.36,
United Kingdom,GBR,2022-01-28,,,150.78,
United Kingdom,GBR,2022-01-29,,,148.98,
United Kingdom,GBR,2022-01-30,,,145.16,
Wales,,2020-03-08,4.41,15.43,0,35.33
Wales,,2020-03-09,5.79,16.38,0.01,47.33
Wales,,2020-03-10,7.44,19.26,0.02,45.33
Wales,,2020-03-11,9.09,21.85,0.05,54
Wales,,2020-03-12,9.64,24.04,0.08,66.67
Wales,,2020-03-13,9.92,26.13,0.13,73.33
Wales,,2020-03-14,12.67,28.27,0.21,73.33
Wales,,2020-03-15,14.33,29.67,0.33,81.33
Wales,,2020-03-16,20.94,33.05,0.43,87.33
Wales,,2020-03-17,24.52,36.39,0.46,91.33
Wales,,2020-03-18,29.48,36.73,0.48,96
Wales,,2020-03-19,31.96,40.62,0.52,100
Wales,,2020-03-20,32.51,39.57,0.55,107.33
Wales,,2020-03-21,36.09,41.46,0.79,102
Wales,,2020-03-22,39.39,43.06,0.9,99.33
Wales,,2020-03-23,40.5,45.3,1.05,102
Wales,,2020-03-24,46.56,44.65,1.22,103.33
Wales,,2020-03-25,47.93,45.74,1.71,100.67
Wales,,2020-03-26,54.27,44,2.04,100
Wales,,2020-03-27,55.92,42.01,2.61,103.33
Wales,,2020-03-28,52.62,41.07,2.9,106
Wales,,2020-03-29,52.62,40.72,3.19,109.33
Wales,,2020-03-30,60.06,41.21,3.69,102
Wales,,2020-03-31,57.58,42.46,3.87,100
Wales,,2020-04-01,52.62,41.71,4.32,90
Wales,,2020-04-02,50.41,38.48,4.93,88
Wales,,2020-04-03,56.75,36.88,5.52,82
Wales,,2020-04-04,55.1,36.98,6.28,79.33
Wales,,2020-04-05,56.75,35.79,6.98,84
Wales,,2020-04-06,44.35,35.34,7.31,74
Wales,,2020-04-07,40.22,36.54,7.95,70
Wales,,2020-04-08,67.49,33.65,7.98,71.33
Wales,,2020-04-09,66.12,33.05,7.03,67.33
Wales,,2020-04-10,58.68,32.01,7.59,66
Wales,,2020-04-11,58.4,26.33,7.42,61.33
Wales,,2020-04-12,56.2,25.93,7.5,62
Wales,,2020-04-13,72.18,26.83,7.54,62.67
Wales,,2020-04-14,73.55,26.78,7.35,61.33
Wales,,2020-04-15,47.93,24.94,7.31,58
Wales,,2020-04-16,53.72,23.79,8.27,54
Wales,,2020-04-17,53.72,23.39,7.35,56
Wales,,2020-04-18,55.37,20.71,7.18,59.33
Wales,,2020-04-19,57.85,22.3,7.06,50
Wales,,2020-04-20,43.53,22.95,6.93,52
Wales,,2020-04-21,42.42,23.15,7.16,50.67
Wales,,2020-04-22,45.45,21.15,7.17,48
Wales,,2020-04-23,35.81,19.61,6.99,44
Wales,,2020-04-24,35.26,18.12,6.99,46
Wales,,2020-04-25,32.78,16.72,7.01,37.33
Wales,,2020-04-26,30.03,18.82,6.46,41.33
Wales,,2020-04-27,30.3,18.57,6.2,40
Wales,,2020-04-28,28.1,17.72,5.94,39.33
Wales,,2020-04-29,22.87,16.38,5.38,42.67
Wales,,2020-04-30,25.34,16.13,5.2,36.67
Wales,,2020-05-01,25.34,15.38,4.9,38
Wales,,2020-05-02,25.07,19.16,4.48,38.67
Wales,,2020-05-03,25.34,19.06,4.47,38.67
Wales,,2020-05-04,23.14,19.56,4.44,34.67
Wales,,2020-05-05,22.87,18.91,4.13,31.33
Wales,,2020-05-06,22.31,21.7,4.05,34
Wales,,2020-05-07,19.01,21.15,3.71,29.33
Wales,,2020-05-08,17.63,21.8,3.68,30.67
Wales,,2020-05-09,18.46,21.45,3.45,30
Wales,,2020-05-10,15.98,21.06,3.62,26
Wales,,2020-05-11,15.15,21.55,3.37,28
Wales,,2020-05-12,16.53,21.45,3.23,24.67
Wales,,2020-05-13,17.36,21.25,3.36,29.33
Wales,,2020-05-14,19.56,19.86,3.51,28
Wales,,2020-05-15,20.66,19.66,3.42,28
Wales,,2020-05-16,20.11,19.51,3.65,29.33
Wales,,2020-05-17,19.83,20.11,3.43,27.33
Wales,,2020-05-18,21.49,19.06,3.35,25.33
Wales,,2020-05-19,19.83,17.52,3.57,25.33
Wales,,2020-05-20,18.18,16.97,3.49,26.67
Wales,,2020-05-21,17.08,15.88,3.62,21.33
Wales,,2020-05-22,15.43,15.68,3.66,19.33
Wales,,2020-05-23,14.88,14.63,3.67,19.33
Wales,,2020-05-24,15.43,14.48,3.59,18
Wales,,2020-05-25,13.22,14.58,3.61,20.67
Wales,,2020-05-26,12.67,15.23,3.52,24
Wales,,2020-05-27,14.33,15.08,3.47,19.33
Wales,,2020-05-28,13.22,14.34,3.14,22
Wales,,2020-05-29,12.67,14.19,3.01,19.33
Wales,,2020-05-30,12.95,13.74,2.66,18
Wales,,2020-05-31,12.67,13.49,2.45,22
Wales,,2020-06-01,12.95,13.94,2.28,18
Wales,,2020-06-02,12.67,14.78,2.02,18
Wales,,2020-06-03,11.02,13.99,1.96,14.67
Wales,,2020-06-04,9.64,13.44,1.83,18
Wales,,2020-06-05,9.09,13.19,1.74,14
Wales,,2020-06-06,8.26,12.64,1.58,16
Wales,,2020-06-07,7.44,11.55,1.43,14
Wales,,2020-06-08,6.89,12.24,1.37,14
Wales,,2020-06-09,7.16,11.7,1.28,16
Wales,,2020-06-10,6.61,11.65,1.12,14.67
Wales,,2020-06-11,7.71,10.85,1.22,14.67
Wales,,2020-06-12,7.99,10.25,1.23,12.67
Wales,,2020-06-13,8.54,9.86,1.24,11.33
Wales,,2020-06-14,7.99,9.46,1.24,10
Wales,,2020-06-15,7.44,9.31,1.31,10.67
Wales,,2020-06-16,7.99,9.26,1.39,8.67
Wales,,2020-06-17,7.99,9.01,1.44,8
Wales,,2020-06-18,7.99,8.81,1.39,6.67
Wales,,2020-06-19,7.71,8.56,1.22,8
Wales,,2020-06-20,6.89,6.62,1.15,11.33
Wales,,2020-06-21,6.89,6.32,1.37,6.67
Wales,,2020-06-22,6.34,6.62,1.4,9.33
Wales,,2020-06-23,4.68,6.97,1.35,11.33
Wales,,2020-06-24,4.13,6.77,1.33,6
Wales,,2020-06-25,3.03,6.52,1.61,6.67
Wales,,2020-06-26,2.75,6.77,1.73,11.33
Wales,,2020-06-27,2.75,5.92,1.8,7.33
Wales,,2020-06-28,2.48,6.22,1.54,6.67
Wales,,2020-06-29,1.93,5.62,1.7,4.67
Wales,,2020-06-30,1.38,6.47,1.61,4
Wales,,2020-07-01,1.65,5.87,1.55,6
Wales,,2020-07-02,1.38,6.12,1.25,5.33
Wales,,2020-07-03,1.65,6.57,1.11,4
Wales,,2020-07-04,1.65,6.57,1.07,5.33
Wales,,2020-07-05,1.1,6.42,1.04,4.67
Wales,,2020-07-06,0.83,6.32,0.65,4.67
Wales,,2020-07-07,0.83,6.47,0.56,7.33
Wales,,2020-07-08,0.55,6.77,0.5,8
Wales,,2020-07-09,0.55,6.82,0.41,8
Wales,,2020-07-10,0.55,6.57,0.35,7.33
Wales,,2020-07-11,0.55,5.77,0.25,6.67
Wales,,2020-07-12,0.55,6.17,0.26,9.33
Wales,,2020-07-13,1.65,5.77,0.27,6
Wales,,2020-07-14,1.65,5.92,0.34,4
Wales,,2020-07-15,3.31,5.72,0.35,4.67
Wales,,2020-07-16,3.86,5.23,0.36,4
Wales,,2020-07-17,4.41,5.13,0.38,2
Wales,,2020-07-18,4.41,4.78,0.39,3.33
Wales,,2020-07-19,4.68,4.38,0.45,2
Wales,,2020-07-20,3.86,4.08,0.46,3.33
Wales,,2020-07-21,4.68,3.88,0.46,4
Wales,,2020-07-22,4.96,3.43,0.48,4
Wales,,2020-07-23,4.68,3.43,0.57,4.67
Wales,,2020-07-24,3.86,3.38,0.67,4
Wales,,2020-07-25,3.86,3.48,0.74,4
Wales,,2020-07-26,4.13,3.43,0.71,3.33
Wales,,2020-07-27,4.96,3.53,0.82,4
Wales,,2020-07-28,4.13,3.53,0.81,2
Wales,,2020-07-29,2.2,3.04,0.85,4
Wales,,2020-07-30,2.2,2.99,0.73,3.33
Wales,,2020-07-31,2.75,2.94,0.66,6.67
Wales,,2020-08-01,2.75,2.74,0.63,4
Wales,,2020-08-02,2.2,2.59,0.68,2
Wales,,2020-08-03,0.83,2.54,0.61,3.33
Wales,,2020-08-04,0.83,2.49,0.61,2.67
Wales,,2020-08-05,0.83,2.39,0.55,2.67
Wales,,2020-08-06,0.83,2.39,0.57,4
Wales,,2020-08-07,0.83,2.04,0.54,4
Wales,,2020-08-08,1.1,2.04,0.53,2
Wales,,2020-08-09,1.1,2.09,0.49,2
Wales,,2020-08-10,1.38,2.34,0.45,6
Wales,,2020-08-11,1.65,2.09,0.41,6.67
Wales,,2020-08-12,1.65,2.14,0.39,9.33
Wales,,2020-08-13,1.38,2.09,0.39,9.33
Wales,,2020-08-14,0.83,1.89,0.4,7.33
Wales,,2020-08-15,0.55,1.74,0.42,5.33
Wales,,2020-08-16,0.83,1.94,0.4,6.67
Wales,,2020-08-17,0.55,1.79,0.4,6.67
Wales,,2020-08-18,0.28,1.89,0.44,6
Wales,,2020-08-19,0.28,1.74,0.49,6
Wales,,2020-08-20,0.55,1.84,0.5,5.33
Wales,,2020-08-21,0.55,2.39,0.56,4.67
Wales,,2020-08-22,0.55,2.09,0.59,4.67
Wales,,2020-08-23,0.28,2.09,0.59,5.33
Wales,,2020-08-24,0.28,1.79,0.61,7.33
Wales,,2020-08-25,0.28,2.24,0.62,6.67
Wales,,2020-08-26,0.28,2.64,0.67,4
Wales,,2020-08-27,0,2.69,0.73,6
Wales,,2020-08-28,0,2.74,0.73,7.33
Wales,,2020-08-29,0,3.38,0.75,10
Wales,,2020-08-30,0,4.08,0.88,6
Wales,,2020-08-31,0,4.08,0.95,7.33
Wales,,2020-09-01,0.83,4.93,1.03,10.67
Wales,,2020-09-02,1.1,4.63,1.06,12
Wales,,2020-09-03,1.65,5.53,1.11,14
Wales,,2020-09-04,1.65,5.72,1.17,12.67
Wales,,2020-09-05,1.65,7.22,1.31,12.67
Wales,,2020-09-06,1.65,6.77,1.46,14.67
Wales,,2020-09-07,2.2,8.56,1.79,17.33
Wales,,2020-09-08,1.65,9.36,2.15,20
Wales,,2020-09-09,2.2,10.2,2.59,22.67
Wales,,2020-09-10,2.48,10.5,2.77,19.33
Wales,,2020-09-11,2.48,10.65,3.06,21.33
Wales,,2020-09-12,2.48,10.85,3.37,21.33
Wales,,2020-09-13,3.31,10.95,3.6,20
Wales,,2020-09-14,3.03,11.45,3.78,20
Wales,,2020-09-15,4.41,12.39,3.64,21.33
Wales,,2020-09-16,4.41,12.99,3.76,18.67
Wales,,2020-09-17,4.96,13.79,4,18
Wales,,2020-09-18,4.96,14.14,4.18,17.33
Wales,,2020-09-19,4.96,14.48,4.35,21.33
Wales,,2020-09-20,6.89,14.53,4.48,19.33
Wales,,2020-09-21,7.44,16.28,4.67,19.33
Wales,,2020-09-22,6.06,17.32,5.28,20
Wales,,2020-09-23,5.79,17.17,5.96,16.67
Wales,,2020-09-24,10.19,19.11,6.6,19.33
Wales,,2020-09-25,10.74,20.61,7.08,20
Wales,,2020-09-26,11.85,22,7.65,21.33
Wales,,2020-09-27,10.47,21.75,8.23,23.33
Wales,,2020-09-28,12.4,23.99,8.41,26.67
Wales,,2020-09-29,14.88,24.44,8.72,28.67
Wales,,2020-09-30,15.7,24.49,8.71,28.67
Wales,,2020-10-01,11.29,26.08,8.89,27.33
Wales,,2020-10-02,11.57,27.38,9.4,31.33
Wales,,2020-10-03,10.74,28.42,10.13,27.33
Wales,,2020-10-04,12.12,28.62,10.38,30
Wales,,2020-10-05,13.22,30.46,11.49,34.67
Wales,,2020-10-06,12.4,32.55,11.7,34
Wales,,2020-10-07,14.6,34.1,13,30
Wales,,2020-10-08,17.63,34.59,13.86,31.33
Wales,,2020-10-09,18.18,36.78,14.94,30.67
Wales,,2020-10-10,19.56,37.93,15.13,38
Wales,,2020-10-11,18.73,39.52,15.25,44
Wales,,2020-10-12,25.07,40.27,14.86,35.33
Wales,,2020-10-13,28.93,43.11,16.07,38
Wales,,2020-10-14,28.37,44.8,16.76,36
Wales,,2020-10-15,27.55,45.5,17.08,40
Wales,,2020-10-16,30.58,47.09,17.84,40
Wales,,2020-10-17,29.75,47.04,18.01,44
Wales,,2020-10-18,28.93,47.44,19.74,40.67
Wales,,2020-10-19,30.85,49.38,20.23,42
Wales,,2020-10-20,33.33,51.27,21.6,49.33
Wales,,2020-10-21,33.88,51.97,21.66,45.33
Wales,,2020-10-22,39.12,52.46,23.11,39.33
Wales,,2020-10-23,39.94,53.06,22.34,39.33
Wales,,2020-10-24,41.32,52.76,24.66,44.67
Wales,,2020-10-25,46.28,53.76,25.21,48
Wales,,2020-10-26,46.56,54.95,27.11,42
Wales,,2020-10-27,47.66,56.1,27.32,38.67
Wales,,2020-10-28,52.07,56.89,28.93,41.33
Wales,,2020-10-29,48.76,55.8,29.79,42
Wales,,2020-10-30,47.93,56.74,33.28,45.33
Wales,,2020-10-31,46.28,54.75,33.19,42.67
Wales,,2020-11-01,49.59,56,32.18,45.33
Wales,,2020-11-02,48.48,55,33.92,48
Wales,,2020-11-03,45.45,57.24,33.6,49.33
Wales,,2020-11-04,46.01,55.45,32.85,46.67
Wales,,2020-11-05,48.21,56.15,32.48,44
Wales,,2020-11-06,46.83,56.45,31.11,46
Wales,,2020-11-07,48.76,56.2,29.88,43.33
Wales,,2020-11-08,45.18,55.05,29.61,45.33
Wales,,2020-11-09,45.18,56,27.06,45.33
Wales,,2020-11-10,46.56,57.29,24.65,45.33
Wales,,2020-11-11,43.8,58.29,23.67,46.67
Wales,,2020-11-12,44.08,58.74,22.22,46
Wales,,2020-11-13,45.45,59.08,20.24,47.33
Wales,,2020-11-14,43.8,58.49,20.15,48
Wales,,2020-11-15,44.35,58.09,22.26,48.67
Wales,,2020-11-16,47.11,59.68,22.12,50.67
Wales,,2020-11-17,46.01,60.13,23.05,54.67
Wales,,2020-11-18,49.31,61.27,22.01,51.33
Wales,,2020-11-19,47.93,63.71,22.66,50
Wales,,2020-11-20,47.38,66.1,23.46,55.33
Wales,,2020-11-21,47.11,68.94,23.75,54.67
Wales,,2020-11-22,49.31,68.19,21.88,54
Wales,,2020-11-23,43.8,70.93,21.88,58
Wales,,2020-11-24,46.28,76.11,21.49,60.67
Wales,,2020-11-25,45.18,75.91,22.45,65.33
Wales,,2020-11-26,47.11,75.31,23.17,68.67
Wales,,2020-11-27,43.25,78.3,23.47,68
Wales,,2020-11-28,51.79,78.89,25.01,65.33
Wales,,2020-11-29,45.73,79.89,25.71,64.67
Wales,,2020-11-30,45.45,82.23,25.38,62
Wales,,2020-12-01,50.69,83.77,25.64,68
Wales,,2020-12-02,53.17,85.96,27.69,71.33
Wales,,2020-12-03,54.27,85.61,28.48,68
Wales,,2020-12-04,73.28,85.22,29.79,68
Wales,,2020-12-05,66.94,79.49,30.5,73.33
Wales,,2020-12-06,71.07,85.42,33.76,73.33
Wales,,2020-12-07,76.86,88.7,38.11,79.33
Wales,,2020-12-08,79.89,91.74,38.51,84.67
Wales,,2020-12-09,69.42,94.18,41.22,81.33
Wales,,2020-12-10,69.42,94.62,42.99,79.33
Wales,,2020-12-11,69.7,93.58,45.71,84
Wales,,2020-12-12,71.07,91.49,48.74,81.33
Wales,,2020-12-13,73.55,96.42,41.9,90.67
Wales,,2020-12-14,63.09,96.42,39.07,90.67
Wales,,2020-12-15,63.64,97.86,38.48,92
Wales,,2020-12-16,63.64,97.76,32.38,93.33
Wales,,2020-12-17,73.28,95.27,66.31,92.67
Wales,,2020-12-18,69.42,96.57,68.33,95.33
Wales,,2020-12-19,72.18,96.37,70.37,97.33
Wales,,2020-12-20,67.77,98.31,78.7,95.33
Wales,,2020-12-21,85.12,98.71,83.47,96
Wales,,2020-12-22,84.57,98.06,91.13,96.67
Wales,,2020-12-23,100,100,100,100
Wales,,2020-12-24,97.8,97.01,66.77,96.67
Wales,,2020-12-25,94.77,93.63,56.76,90
Wales,,2020-12-26,92.56,93.18,53.81,91.33
Wales,,2020-12-27,92.29,92.58,60.26,92.67
Wales,,2020-12-28,89.53,92.23,59.23,94
Wales,,2020-12-29,87.05,96.12,58.33,99.33
Wales,,2020-12-30,86.5,91.59,55.72,91.33
Wales,,2020-12-31,84.57,92.93,54.54,91.33
Wales,,2021-01-01,85.4,91.19,54.54,89.33
Wales,,2021-01-02,86.23,90.74,56.42,90.67
Wales,,2021-01-03,84.02,88.8,55.95,86.67
Wales,,2021-01-04,77.96,90.39,54.62,86.67
Wales,,2021-01-05,75.76,91.19,53.04,91.33
Wales,,2021-01-06,79.34,90.04,52.89,86.67
Wales,,2021-01-07,71.63,86.86,52.48,89.33
Wales,,2021-01-08,70.52,85.71,61.36,89.33
Wales,,2021-01-09,71.35,83.92,59.97,85.33
Wales,,2021-01-10,71.35,81.78,51.57,81.33
Wales,,2021-01-11,72.73,83.52,51.2,81.33
Wales,,2021-01-12,75.48,81.53,48.57,75.33
Wales,,2021-01-13,65.01,81.53,46.05,75.33
Wales,,2021-01-14,64.46,79.54,45.78,72.67
Wales,,2021-01-15,61.71,76.85,43.36,71.33
Wales,,2021-01-16,61.16,75.01,38.92,69.33
Wales,,2021-01-17,60.88,73.17,37.18,65.33
Wales,,2021-01-18,61.16,70.88,35.53,60
Wales,,2021-01-19,55.37,70.33,34.72,58.67
Wales,,2021-01-20,59.78,69.29,33.83,56
Wales,,2021-01-21,66.39,67.99,32.08,60
Wales,,2021-01-22,64.74,68.24,28.48,62.67
Wales,,2021-01-23,62.26,65.56,28.3,59.33
Wales,,2021-01-24,63.09,64.81,26.96,58.67
Wales,,2021-01-25,55.1,64.41,25.32,56.67
Wales,,2021-01-26,52.89,65.31,23.4,51.33
Wales,,2021-01-27,47.38,62.02,20.74,52.67
Wales,,2021-01-28,39.94,59.68,19.14,51.33
Wales,,2021-01-29,36.36,57.99,18.23,54.67
Wales,,2021-01-30,37.47,58.29,17.01,52.67
Wales,,2021-01-31,36.91,55.85,16.33,50.67
Wales,,2021-02-01,39.39,56.6,15.46,45.33
Wales,,2021-02-02,35.81,57.19,15.62,40.67
Wales,,2021-02-03,33.33,55.55,15.33,40.67
Wales,,2021-02-04,31.68,55.7,14.75,39.33
Wales,,2021-02-05,31.96,52.61,14.23,40
Wales,,2021-02-06,30.03,50.92,14,36
Wales,,2021-02-07,28.93,46.54,13.49,34
Wales,,2021-02-08,24.24,47.09,13.42,30
Wales,,2021-02-09,26.17,48.33,12.48,32
Wales,,2021-02-10,26.17,45.99,12.01,34.67
Wales,,2021-02-11,26.17,44.35,11.53,28
Wales,,2021-02-12,28.37,42.11,12.28,27.33
Wales,,2021-02-13,26.72,39.47,11.29,22.67
Wales,,2021-02-14,25.9,39.47,11.06,23.33
Wales,,2021-02-15,25.62,37.73,10.17,24
Wales,,2021-02-16,23.42,35.44,9.9,24
Wales,,2021-02-17,22.31,34.84,10.08,22.67
Wales,,2021-02-18,19.83,32.75,9.66,20.67
Wales,,2021-02-19,18.18,31.56,9.39,21.33
Wales,,2021-02-20,17.36,30.41,9.26,20.67
Wales,,2021-02-21,17.91,30.56,9.05,20.67
Wales,,2021-02-22,16.25,29.82,8.89,18.67
Wales,,2021-02-23,15.98,28.67,9.04,20
Wales,,2021-02-24,15.98,26.88,8.55,20
Wales,,2021-02-25,15.7,27.73,8.63,18.67
Wales,,2021-02-26,13.5,22.85,7.82,20
Wales,,2021-02-27,14.05,22.15,7.23,21.33
Wales,,2021-02-28,13.5,20.66,6.92,20
Wales,,2021-03-01,14.05,20.66,6.47,21.33
Wales,,2021-03-02,11.85,19.61,5.94,18
Wales,,2021-03-03,11.02,19.01,5.84,16.67
Wales,,2021-03-04,11.02,18.57,5.68,17.33
Wales,,2021-03-05,9.92,17.12,5.4,14.67
Wales,,2021-03-06,9.37,16.03,5.39,13.33
Wales,,2021-03-07,9.09,15.93,5.05,14
Wales,,2021-03-08,7.71,16.03,4.95,11.33
Wales,,2021-03-09,7.71,15.93,4.93,11.33
Wales,,2021-03-10,6.06,15.23,5,10
Wales,,2021-03-11,6.34,14.44,4.74,10.67
Wales,,2021-03-12,4.68,13.99,4.6,11.33
Wales,,2021-03-13,4.96,12.79,4.65,11.33
Wales,,2021-03-14,4.96,12.1,4.88,11.33
Wales,,2021-03-15,4.41,12.05,5.18,12.67
Wales,,2021-03-16,3.86,12.79,5.1,11.33
Wales,,2021-03-17,3.03,12.1,4.81,10.67
Wales,,2021-03-18,1.65,11.2,5.17,10.67
Wales,,2021-03-19,1.65,10.3,5.21,9.33
Wales,,2021-03-20,3.58,10.4,5.21,10
Wales,,2021-03-21,4.13,10.05,5.13,10.67
Wales,,2021-03-22,3.86,10.35,4.78,10.67
Wales,,2021-03-23,4.96,7.07,4.73,8.67
Wales,,2021-03-24,5.23,6.62,4.78,8
Wales,,2021-03-25,4.68,6.17,4.53,7.33
Wales,,2021-03-26,5.51,5.82,4.49,8.67
Wales,,2021-03-27,3.31,5.28,4.46,7.33
Wales,,2021-03-28,3.31,5.72,4.37,6.67
Wales,,2021-03-29,3.31,5.43,4.28,6
Wales,,2021-03-30,2.2,4.83,4.17,5.33
Wales,,2021-03-31,1.93,5.03,3.81,5.33
Wales,,2021-04-01,1.93,5.03,3.67,4.67
Wales,,2021-04-02,1.93,5.03,3,4.67
Wales,,2021-04-03,2.48,5.13,2.62,4.67
Wales,,2021-04-04,2.48,5.13,2.01,3.33
Wales,,2021-04-05,2.48,4.03,2.24,3.33
Wales,,2021-04-06,2.2,4.28,2.35,2.67
Wales,,2021-04-07,2.2,5.08,2.43,2.67
Wales,,2021-04-08,2.2,4.13,2.05,3.33
Wales,,2021-04-09,2.2,4.28,2.46,1.33
Wales,,2021-04-10,2.2,3.09,2.58,1.33
Wales,,2021-04-11,1.65,3.63,2.77,3.33
Wales,,2021-04-12,1.65,2.99,2.27,4
Wales,,2021-04-13,1.93,3.09,2.07,2
Wales,,2021-04-14,1.93,3.29,2,2
Wales,,2021-04-15,1.93,3.14,2.08,2
Wales,,2021-04-16,1.1,2.79,1.85,2
Wales,,2021-04-17,0.55,2.69,1.38,2
Wales,,2021-04-18,0.83,3.09,1.53,2
Wales,,2021-04-19,0.83,2.64,1.71,2
Wales,,2021-04-20,0.55,2.44,1.66,2.67
Wales,,2021-04-21,0.55,2.84,1.66,2
Wales,,2021-04-22,0.55,2.09,1.51,2
Wales,,2021-04-23,0.55,2.19,1.55,2
Wales,,2021-04-24,1.65,2.39,1.55,2
Wales,,2021-04-25,1.65,2.09,1.44,0.67
Wales,,2021-04-26,1.65,1.89,1.42,1.33
Wales,,2021-04-27,1.65,1.74,1.35,2
Wales,,2021-04-28,1.65,1.89,1.24,2
Wales,,2021-04-29,1.65,2.04,1.26,2
Wales,,2021-04-30,1.93,2.09,1.19,0.67
Wales,,2021-05-01,1.1,1.94,1.19,0.67
Wales,,2021-05-02,0.83,1.54,1.25,1.33
Wales,,2021-05-03,0.83,1.59,0.9,1.33
Wales,,2021-05-04,0.83,1.69,1.01,1.33
Wales,,2021-05-05,1.65,1.29,1.08,2.67
Wales,,2021-05-06,1.65,1,0.96,2
Wales,,2021-05-07,1.93,0.85,1,3.33
Wales,,2021-05-08,1.65,1.05,1,1.33
Wales,,2021-05-09,1.65,1,0.91,1.33
Wales,,2021-05-10,1.93,1,1.28,1.33
Wales,,2021-05-11,2.2,1,1.15,2.67
Wales,,2021-05-12,1.38,1,1.04,2
Wales,,2021-05-13,1.38,1.1,1.13,2
Wales,,2021-05-14,0.83,1.19,1.15,1.33
Wales,,2021-05-15,0.83,1.1,1.15,2
Wales,,2021-05-16,0.83,1.1,1.15,2
Wales,,2021-05-17,0.55,1.1,1.11,2.67
Wales,,2021-05-18,0,1.34,1.11,2
Wales,,2021-05-19,0,1.49,1.19,1.33
Wales,,2021-05-20,0,1.94,1.14,2
Wales,,2021-05-21,0,2.04,1.05,2.67
Wales,,2021-05-22,0.28,1.84,1.05,1.33
Wales,,2021-05-23,0.28,1.99,1.02,2
Wales,,2021-05-24,0.28,2.19,1.06,0.67
Wales,,2021-05-25,0.55,2.04,1.01,0.67
Wales,,2021-05-26,0.55,2.19,0.95,1.33
Wales,,2021-05-27,0.55,2.24,1,0.67
Wales,,2021-05-28,0.83,1.89,1.01,0.67
Wales,,2021-05-29,0.55,2.19,1.01,0.67
Wales,,2021-05-30,0.55,1.99,0.96,1.33
Wales,,2021-05-31,0.55,2.24,0.6,0.67
Wales,,2021-06-01,0.28,2.29,0.86,0.67
Wales,,2021-06-02,0.28,2.19,1.06,2
Wales,,2021-06-03,0.28,2.09,1.03,0.67
Wales,,2021-06-04,0,1.89,1.17,1.33
Wales,,2021-06-05,0,1.89,1.17,2
Wales,,2021-06-06,0,1.99,1.39,1.33
