Entity,Code,Day,Fully vaccinated,Unvaccinated or not fully vaccinated,Fully vaccinated + booster
51-60,,2021-08-21,0.3695945640031527,6.033425175472115,
51-60,,2021-08-28,0.2298644489344633,5.843883313588091,
51-60,,2021-09-04,0.233605998254496,4.483626356997539,0
51-60,,2021-09-11,0.1873593341249265,2.356017858615368,0
51-60,,2021-09-18,0.19234606904743,2.6200129690641965,0.7623694442326752
51-60,,2021-09-25,0.0547622033462992,0.7131751986192928,0
51-60,,2021-10-02,0.2290738201839233,0.7546030787805614,0
51-60,,2021-10-09,0.2410085726749301,2.3814248858900577,0
51-60,,2021-10-16,0.3218603010423768,0,0
51-60,,2021-10-23,0.1357333707957436,0.8527548244604194,0
51-60,,2021-10-30,0.3760139215394311,2.626556234568982,0
51-60,,2021-11-06,0.1706834163992626,3.607926614772656,0
51-60,,2021-11-13,0.2107381631008013,1.884019744526923,0
51-60,,2021-11-20,0.6360287383225124,9.794894900777717,0
51-60,,2021-11-27,1.372122734854052,12.172607575419448,0.0621532624869012
51-60,,2021-12-04,0.17825883896453,3.169438164261415,0
51-60,,2021-12-11,1.188290584579553,9.919869498605706,0.0565683809903087
51-60,,2021-12-18,1.3568981308728247,13.798495963939931,0.1090349047988987
51-60,,2021-12-25,0.9908077808135028,3.5895042894576266,0.0533009831899359
51-60,,2022-01-01,1.0876629115104646,7.520681875156682,0.052195199607492
51-60,,2022-01-08,0.863175218814918,4.108294646892075,0.1031800078416806
51-60,,2022-01-15,2.0080321285140563,3.1662937476252795,0.1507742256487061
61-70,,2021-08-07,2.2817968389507794,18.721198156682032,
61-70,,2021-08-14,1.89462476009314,7.8974515910897,
61-70,,2021-08-21,1.4488882617372547,12.588116817724073,
61-70,,2021-08-28,1.067314254358566,5.692373771611615,
61-70,,2021-09-04,1.0595158295196652,3.181690432126589,0
61-70,,2021-09-11,1.0175631397928242,5.399772129616129,0
61-70,,2021-09-18,1.7284270696370918,3.3634549409153083,0
61-70,,2021-09-25,1.009626063352593,2.3076168663716765,0
61-70,,2021-10-02,0.9119566638193352,1.1752952929423517,0
61-70,,2021-10-09,0.8118556910272086,2.392044061451612,0.0997078559819728
61-70,,2021-10-16,0,1.8168934755355293,0
61-70,,2021-10-23,0.5436318959706004,1.2225985108750137,0
61-70,,2021-10-30,0.9479913012318198,4.309946741372412,0
61-70,,2021-11-06,0.4038136157874971,4.347610056643148,0.0885160984228201
61-70,,2021-11-13,1.912411550965768,3.1440806393802387,0
61-70,,2021-11-20,3.0926153967263263,6.355541714598044,0
61-70,,2021-11-27,2.9322933466263965,5.776117678770842,0.4534177496423668
61-70,,2021-12-04,4.816509512606287,5.837219408105953,0.1468497785505339
61-70,,2021-12-11,4.018242822413758,9.193590753874444,0.1444169490619758
61-70,,2021-12-18,2.2250901161497043,7.314267476112268,0.0708755899506918
61-70,,2021-12-25,0.9529345619836286,4.706167095824285,0.4203432102311537
61-70,,2022-01-01,1.5413070283600494,7.487220675619568,0.2076890645476844
61-70,,2022-01-08,2.6867420029124283,3.0237363301920066,0.0687711557267804
61-70,,2022-01-15,2.4291448802735216,1.0143119414944872,0.4740036105532164
71-80,,2021-08-07,5.8808386741704695,64.4800756566221,
71-80,,2021-08-14,6.864079056476978,32.463699681265496,
71-80,,2021-08-21,6.964596633778294,28.594648285826093,
71-80,,2021-08-28,2.977920374820912,9.324299123515882,
71-80,,2021-09-04,4.298224380886023,30.315117670522536,0.2144528343158847
71-80,,2021-09-11,6.62854250402232,9.780907668231611,0.3461531139068744
71-80,,2021-09-18,6.40021558620922,16.996107891292894,0
71-80,,2021-09-25,4.035927089142622,10.545742156604271,0.1558666654197333
71-80,,2021-10-02,0.7606789820593862,1.8028087760731215,0.1532264119430794
71-80,,2021-10-09,1.141018473089079,9.545628102329133,0
71-80,,2021-10-16,2.5132679604411625,7.508212106992023,0
71-80,,2021-10-23,0.8673967255773609,7.604273601764191,0
71-80,,2021-10-30,2.684083385523844,15.345072313653278,0
71-80,,2021-11-06,8.414635856633303,15.522828259308849,0
71-80,,2021-11-13,5.235684330120368,19.714144898965007,0.1371179721897328
71-80,,2021-11-20,9.331296000373252,29.937729522593013,0
71-80,,2021-11-27,13.599274705349048,26.22342356880623,0.2607470141207545
71-80,,2021-12-04,14.197285479016411,22.496267664682907,0.6399983616041943
71-80,,2021-12-11,9.02499924791673,43.61733061936609,0.8861757843605166
71-80,,2021-12-18,8.868035568884482,16.85665521818833,1.25074888589543
71-80,,2021-12-25,5.069579985298217,29.970243829340877,0.6203820312548467
71-80,,2022-01-01,3.5705040659115053,21.75663033309401,0.8609778986973404
71-80,,2022-01-08,4.601001177856301,14.964139508534904,0.979345601269232
71-80,,2022-01-15,6.966075213709236,8.59983875302338,0.8478795138985621
80+,,2021-08-07,18.623619046709468,49.46087644673064,
80+,,2021-08-14,15.011222676000632,32.496344161281854,
80+,,2021-08-21,14.040598748244928,33.96867333459143,
80+,,2021-08-28,7.599271419852622,20.355716139538437,
80+,,2021-09-04,11.11286035764889,14.119036311594297,2.4293071615975124
80+,,2021-09-11,13.168868794170582,12.92958547748959,2.082422273588638
80+,,2021-09-18,7.223432816055283,13.095861707700369,0.7775777674964718
80+,,2021-09-25,2.5922349601767904,7.9441789029088925,0.3705611407354156
80+,,2021-10-02,5.370028528276556,4.008176680428074,0
80+,,2021-10-09,10.491051133383223,6.824447902164715,0
80+,,2021-10-16,2.9050766213958887,9.471618970299708,0.3471017007983339
80+,,2021-10-23,6.7310856493253945,14.951340183765565,0.3419797206025682
80+,,2021-10-30,9.19216214974032,20.460218515133747,0.3380251220270689
80+,,2021-11-06,4.742220781992208,20.54456801621652,1.3326226012793176
80+,,2021-11-13,14.322061028829468,19.26570154676061,0.3243288824599697
80+,,2021-11-20,12.519449859603313,38.68632300316399,0.3169652479302169
80+,,2021-11-27,16.19047619047619,30.50640634533252,2.480012648064505
80+,,2021-12-04,24.15142946273133,20.88903743315508,6.088020601861718
80+,,2021-12-11,18.73263328788936,30.790762771168648,2.7095702019532992
80+,,2021-12-18,21.6076058772688,28.121880228912104,4.166468263416028
80+,,2021-12-25,22.182786157941443,39.54969843354945,1.1808536390957023
80+,,2022-01-01,3.4287673581347504,8.517887563884157,2.0482209737827715
80+,,2022-01-08,12.802458071949811,16.666111129629012,2.037472021143138
80+,,2022-01-15,14.531539495513387,18.94678183337977,2.880325361552841
All ages,,2021-08-07,1.2011830342426022,8.285514126398512,
All ages,,2021-08-14,1.0435282883181318,5.393099747120093,
All ages,,2021-08-21,0.9986058543944664,4.871547678244114,
All ages,,2021-08-28,0.5280261163214359,2.584965073746493,
